DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
253091,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,1.88256,0.56511,1.88256,0.56511,122741,010001,253093,0,010001,main,1,1,27,0.5,2012-11-14,19311,M,1,NULL,alive
253092,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,1.88256,0.56511,1.88256,0.56511,122741,010001,253094,0,010002,NULL,1,1,23,0.49,2012-11-14,19311,NULL,1,NULL,alive
253093,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,1.88256,0.56511,1.88256,0.56511,122741,010001,253095,0,010003,NULL,1,1,14,0.5,2012-11-14,19311,NULL,1,NULL,alive
253094,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,3.84529,2.85560,3.84529,2.85560,122742,010004,253096,0,010004,main,1,1,36,0.5,2012-11-14,19311,NULL,1,NULL,alive
253095,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,4.82407,0.57134,4.82407,0.57134,122743,010005,253097,0,010005,main,1,1,34,0.52,2012-11-14,19311,NULL,1,NULL,alive
253096,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,3.67056,5.40212,3.67056,5.40212,122744,010006,253098,0,010006,main,1,1,47,0.5,2012-11-14,19311,NULL,1,NULL,alive
253097,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,0.51068,8.75944,0.51068,8.75944,122745,010007,253099,0,010007,main,1,1,57,0.5,2012-11-14,19311,NULL,1,NULL,alive
253098,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,8.01321,8.40632,8.01321,8.40632,122746,010008,253100,0,010008,main,1,1,17,0.5,2012-11-14,19311,NULL,1,NULL,alive
253099,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,9.38467,6.58431,9.38467,6.58431,122747,010009,253101,0,010009,main,1,1,61,0.5,2012-11-14,19311,NULL,1,NULL,alive
253100,Mpala,1,Fabaceae-mimosoideae,Acacia,drepanolobium,ACACDR,NULL,2,NULL,0101,1,6.23610,0.65460,6.23610,0.65460,122748,010010,253102,0,010010,main,1,1,43,0.5,2012-11-14,19311,NULL,1,NULL,alive
